no,SrNo,PDF_name,Type,Compostion,Class,composition_final,Element,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Ln(P)_bar,Pressure(MPa),AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix
117,250,32,PCT,Ti V Mn,TM,Mn0.33Ti0.33V0.33,Ti V Mn,0.33 0.33 0.33,0.33 0.33 0.33,3.6646,-0.0165,Ln(P) P in atm,1/T,272.88,273,273,-2.3191,-0.0165,0.1,23.3333,4,1.3767,133.3333,208.3333,1.5733,6.03,0.2033,1872,3148.3333,5.3333,7.0033,20.2667,130,18.2333,8.77,51.25,496,-9.79,2.0633,1.9933,-7.8467,-0.21,-5.9467,0,-8.71,42.58,141.8533,-3.5933,0.04,-0.6204,4.36,9.1258
118,251,32,PCT,Ti1 Mn0.8V1.2,TM,Mn0.27Ti0.33V0.4,Ti  Mn  V  ,0.33 0.27 0.4,0.33 0.27 0.4,2.8338,1.6587,Ln(P) P in atm,1/T,352.88,353,353,-0.6439,1.6587,0.53,23.21,4,1.3743,132.41,208.3,1.5787,5.9492,0.2384,1913.61,3238.25,5.21,6.96,21.766,132.7,18.855,8.8251,51.0069,496.53,-9.7517,2.0062,1.9369,-7.6045,-0.2387,-5.9115,0,-8.7089,41.6518,118.7034,-2.8406,0.0424,-0.6213,4.47,9.0287
119,252,32,PCT,Ti1 Mn0.8V1.2,TM,Mn0.27Ti0.33V0.4,Ti  Mn  V  ,0.33 0.27 0.4,0.33 0.27 0.4,3.0031,0.766,Ln(P) P in atm,1/T,332.99,333,333,-1.5366,0.766,0.22,23.21,4,1.3743,132.41,208.3,1.5787,5.9492,0.2384,1913.61,3238.25,5.21,6.96,21.766,132.7,18.855,8.8251,51.0069,496.53,-9.7517,2.0062,1.9369,-7.6045,-0.2387,-5.9115,0,-8.7089,41.6518,118.7034,-2.8406,0.0424,-0.6213,4.47,9.0287
120,253,32,PCT,Ti1 Mn0.8V1.2,TM,Mn0.27Ti0.33V0.4,Ti  Mn  V  ,0.33 0.27 0.4,0.33 0.27 0.4,3.3015,-0.728,Ln(P) P in atm,1/T,302.89,303,303,-3.0306,-0.728,0.05,23.21,4,1.3743,132.41,208.3,1.5787,5.9492,0.2384,1913.61,3238.25,5.21,6.96,21.766,132.7,18.855,8.8251,51.0069,496.53,-9.7517,2.0062,1.9369,-7.6045,-0.2387,-5.9115,0,-8.7089,41.6518,118.7034,-2.8406,0.0424,-0.6213,4.47,9.0287
121,254,32,PCT,Ti1 Mn0.8V1.2,TM,Mn0.27Ti0.33V0.4,Ti  Mn  V  ,0.33 0.27 0.4,0.33 0.27 0.4,3.6677,-2.189,Ln(P) P in atm,1/T,272.65,273,273,-4.4916,-2.189,0.01,23.21,4,1.3743,132.41,208.3,1.5787,5.9492,0.2384,1913.61,3238.25,5.21,6.96,21.766,132.7,18.855,8.8251,51.0069,496.53,-9.7517,2.0062,1.9369,-7.6045,-0.2387,-5.9115,0,-8.7089,41.6518,118.7034,-2.8406,0.0424,-0.6213,4.47,9.0287
125,258,56,PCT,TiCrMn0.8,TM,Cr0.36Mn0.29Ti0.36,Ti Cr Mn  ,0.36 0.36 0.29,0.36 0.36 0.29,3.234,5.4571,P (MPa),1000/T,309.22,309,309,1.6969,3.9995,5.46,23.5743,4,1.3536,133.6535,208.5644,1.5856,6.3151,0.2709,1884.7723,2960.3465,5.5743,6.9809,43.5861,130.6931,17.7624,8.4728,51.3721,482.5644,-10.035,2.3911,3.2394,-7.3796,-0.081,-6.2184,0,-8.882,47.4466,130.1119,-3.0941,0.0557,-0.6205,6.56,9.1008
126,259,56,PCT,TiCrMn0.8,TM,Cr0.36Mn0.29Ti0.36,Ti Cr Mn  ,0.36 0.36 0.29,0.36 0.36 0.29,3.2958,4.62,P (MPa),1000/T,303.41,303,303,1.5304,3.833,4.62,23.5743,4,1.3536,133.6535,208.5644,1.5856,6.3151,0.2709,1884.7723,2960.3465,5.5743,6.9809,43.5861,130.6931,17.7624,8.4728,51.3721,482.5644,-10.035,2.3911,3.2394,-7.3796,-0.081,-6.2184,0,-8.882,47.4466,130.1119,-3.0941,0.0557,-0.6205,6.56,9.1008
127,260,56,PCT,TiCrMn0.8,TM,Cr0.36Mn0.29Ti0.36,Ti Cr Mn  ,0.36 0.36 0.29,0.36 0.36 0.29,3.3492,3.4065,P (MPa),1000/T,298.58,298,298,1.2257,3.5283,3.41,23.5743,4,1.3536,133.6535,208.5644,1.5856,6.3151,0.2709,1884.7723,2960.3465,5.5743,6.9809,43.5861,130.6931,17.7624,8.4728,51.3721,482.5644,-10.035,2.3911,3.2394,-7.3796,-0.081,-6.2184,0,-8.882,47.4466,130.1119,-3.0941,0.0557,-0.6205,6.56,9.1008
127,260,56,PCT,TiCrMn0.8,TM,Cr0.36Mn0.29Ti0.36,Ti Cr Mn  ,0.36 0.36 0.29,0.36 0.36 0.29,3.6541,1.481,P (MPa),1000/T,273.67,273,273,0.3927,2.6953,1.48,23.5743,4,1.3536,133.6535,208.5644,1.5856,6.3151,0.2709,1884.7723,2960.3465,5.5743,6.9809,43.5861,130.6931,17.7624,8.4728,51.3721,482.5644,-10.035,2.3911,3.2394,-7.3796,-0.081,-6.2184,0,-8.882,47.4466,130.1119,-3.0941,0.0557,-0.6205,6.56,9.1008
129,262,56,PCT,TiCr1.2Mn0.6,TM,Cr0.43Mn0.21Ti0.36,Ti Cr   Mn  ,0.36 0.43 0.21,0.36 0.43 0.21,3.3029,5.4556,P (MPa),1000/T,36.13,307,307,1.6966,3.9992,5.46,23.49,4,1.3466,132.76,208.6,1.5937,6.284,0.3212,1931.28,3017.3,5.49,6.9302,49.978,133.6,18.319,8.4756,51.1306,480.43,-10.0387,2.3983,3.4364,-7.02,-0.0853,-6.2381,0,-8.9135,47.6038,103.0321,-2.187,0.0574,-0.6063,6.93,8.8004
130,263,56,PCT,TiCr1.2Mn0.6,TM,Cr0.43Mn0.21Ti0.36,Ti Cr   Mn  ,0.36 0.43 0.21,0.36 0.43 0.21,3.3621,4.5488,P (MPa),1000/T,31.28,302,302,1.5149,3.8174,4.55,23.49,4,1.3466,132.76,208.6,1.5937,6.284,0.3212,1931.28,3017.3,5.49,6.9302,49.978,133.6,18.319,8.4756,51.1306,480.43,-10.0387,2.3983,3.4364,-7.02,-0.0853,-6.2381,0,-8.9135,47.6038,103.0321,-2.187,0.0574,-0.6063,6.93,8.8004
131,264,56,PCT,TiCr1.2Mn0.6,TM,Cr0.43Mn0.21Ti0.36,Ti Cr   Mn  ,0.36 0.43 0.21,0.36 0.43 0.21,3.4125,3.1623,P (MPa),1000/T,24.67,297,297,1.1513,3.4539,3.16,23.49,4,1.3466,132.76,208.6,1.5937,6.284,0.3212,1931.28,3017.3,5.49,6.9302,49.978,133.6,18.319,8.4756,51.1306,480.43,-10.0387,2.3983,3.4364,-7.02,-0.0853,-6.2381,0,-8.9135,47.6038,103.0321,-2.187,0.0574,-0.6063,6.93,8.8004
131,264,56,PCT,TiCr1.2Mn0.6,TM,Cr0.43Mn0.21Ti0.36,Ti Cr   Mn  ,0.36 0.43 0.21,0.36 0.43 0.21,3.7009,1.2743,P (MPa),1000/T,24.67,273,273,0.2424,2.545,1.27,23.49,4,1.3466,132.76,208.6,1.5937,6.284,0.3212,1931.28,3017.3,5.49,6.9302,49.978,133.6,18.319,8.4756,51.1306,480.43,-10.0387,2.3983,3.4364,-7.02,-0.0853,-6.2381,0,-8.9135,47.6038,103.0321,-2.187,0.0574,-0.6063,6.93,8.8004
133,266,56,PCT,TiCr1.4Mn0.4,TM,Cr0.5Mn0.14Ti0.36,Ti Cr   Mn  ,0.36 0.5 0.14,0.36 0.5 0.14,3.2208,5.519,P (MPa),1000/T,35.72,309,309,1.7082,4.0108,5.52,23.42,4,1.3396,131.92,208.6,1.6014,6.2644,0.3688,1974.12,3067,5.42,6.884,56.012,136.4,18.83,8.4672,50.9248,478.26,-10.0534,2.4074,3.6268,-6.698,-0.0874,-6.257,0,-8.9478,47.5856,78.4278,-1.3652,0.0583,-0.5986,7.21,8.2282
134,267,56,PCT,TiCr1.4Mn0.4,TM,Cr0.5Mn0.14Ti0.36,Ti Cr   Mn  ,0.36 0.5 0.14,0.36 0.5 0.14,3.2897,4.0978,P (MPa),1000/T,29.85,303,303,1.4105,3.713,4.1,23.42,4,1.3396,131.92,208.6,1.6014,6.2644,0.3688,1974.12,3067,5.42,6.884,56.012,136.4,18.83,8.4672,50.9248,478.26,-10.0534,2.4074,3.6268,-6.698,-0.0874,-6.257,0,-8.9478,47.5856,78.4278,-1.3652,0.0583,-0.5986,7.21,8.2282
135,268,56,PCT,TiCr1.4Mn0.4,TM,Cr0.5Mn0.14Ti0.36,Ti Cr   Mn  ,0.36 0.5 0.14,0.36 0.5 0.14,3.3512,2.8755,P (MPa),1000/T,24.9,298,298,1.0562,3.3588,2.88,23.42,4,1.3396,131.92,208.6,1.6014,6.2644,0.3688,1974.12,3067,5.42,6.884,56.012,136.4,18.83,8.4672,50.9248,478.26,-10.0534,2.4074,3.6268,-6.698,-0.0874,-6.257,0,-8.9478,47.5856,78.4278,-1.3652,0.0583,-0.5986,7.21,8.2282
135,268,56,PCT,TiCr1.4Mn0.4,TM,Cr0.5Mn0.14Ti0.36,Ti Cr   Mn  ,0.36 0.5 0.14,0.36 0.5 0.14,3.641,1.163,P (MPa),1000/T,24.9,273,273,0.151,2.4536,1.16,23.42,4,1.3396,131.92,208.6,1.6014,6.2644,0.3688,1974.12,3067,5.42,6.884,56.012,136.4,18.83,8.4672,50.9248,478.26,-10.0534,2.4074,3.6268,-6.698,-0.0874,-6.257,0,-8.9478,47.5856,78.4278,-1.3652,0.0583,-0.5986,7.21,8.2282
316,0,38,PCT,V 82-Ti 41-Cr 73-Al 0.08,TM,Al0.00041Cr0.37Ti0.21V0.42,V Ti Cr Al,0.42 0.21 0.37 0.00041,0.42 0.21 0.37 0.00041,0.3721,2.9714,Ln(P) MPa,1000/T,323,323,323,0.6688,2.9714,1.95,23.1561,3.9996,1.3236,128.0472,207.1033,1.6222,6.1722,0.491,2102.4518,3370.0254,5.1592,6.7739,52.4954,149.4714,21.084,8.4088,50.6783,480.5184,-10.2085,2.1161,3.0294,-6.5371,-0.1882,-6.0059,0,-9.0389,35.4703,22.5242,0.2799,0.0447,-0.578,5.83,8.8396
317,0,38,PCT,V 82-Ti 41-Cr 73-Al 0.08,TM,Al0.00041Cr0.37Ti0.21V0.42,V Ti Cr Al,0.42 0.21 0.37 0.00041,0.42 0.21 0.37 0.00041,0.4104,2.2974,Ln(P) MPa,1000/T,293,293,293,-0.0052,2.2974,0.99,23.1561,3.9996,1.3236,128.0472,207.1033,1.6222,6.1722,0.491,2102.4518,3370.0254,5.1592,6.7739,52.4954,149.4714,21.084,8.4088,50.6783,480.5184,-10.2085,2.1161,3.0294,-6.5371,-0.1882,-6.0059,0,-9.0389,35.4703,22.5242,0.2799,0.0447,-0.578,5.83,8.8396
318,0,38,PCT,V 82-Ti 41-Cr 73-Al 0.08,TM,Al0.00041Cr0.37Ti0.21V0.42,V Ti Cr Al,0.42 0.21 0.37 0.00041,0.42 0.21 0.37 0.00041,0.4413,1.2966,Ln(P) MPa,1000/T,273,273,273,-1.006,1.2966,0.37,23.1561,3.9996,1.3236,128.0472,207.1033,1.6222,6.1722,0.491,2102.4518,3370.0254,5.1592,6.7739,52.4954,149.4714,21.084,8.4088,50.6783,480.5184,-10.2085,2.1161,3.0294,-6.5371,-0.1882,-6.0059,0,-9.0389,35.4703,22.5242,0.2799,0.0447,-0.578,5.83,8.8396
94,219,13,PCT,Ti 27 Cr 27 V 40 Fe 6,TM,Cr0.27Fe0.06Ti0.27V0.4,Ti    Cr    V    Fe  ,0.27 0.27 0.4 0.06,0.27 0.27 0.4 0.06,2.7171,3.5788,Ln(P) (bar),1000/T,368.04,368,368,1.2763,3.5788,3.58,23.18,4,1.3341,128.51,207.7,1.6258,6.0752,0.4262,2071.23,3397.73,5.18,6.846,48.52,147.1,20.532,8.5809,50.6919,483.9,-9.8954,2.0449,2.6623,-6.4657,-0.1856,-6.0168,0,-8.876,41.8042,23.1309,0.3388,0.0693,-0.5742,6.16,10.3296
95,220,13,PCT,Ti 27 Cr 27 V 40 Fe 6,TM,Cr0.27Fe0.06Ti0.27V0.4,Ti    Cr    V    Fe  ,0.27 0.27 0.4 0.06,0.27 0.27 0.4 0.06,2.9563,2.754,Ln(P) (bar),1000/T,338.26,338,338,0.4514,2.754,1.57,23.18,4,1.3341,128.51,207.7,1.6258,6.0752,0.4262,2071.23,3397.73,5.18,6.846,48.52,147.1,20.532,8.5809,50.6919,483.9,-9.8954,2.0449,2.6623,-6.4657,-0.1856,-6.0168,0,-8.876,41.8042,23.1309,0.3388,0.0693,-0.5742,6.16,10.3296
96,221,13,PCT,Ti 27 Cr 27 V 40 Fe 6,TM,Cr0.27Fe0.06Ti0.27V0.4,Ti    Cr    V    Fe  ,0.27 0.27 0.4 0.06,0.27 0.27 0.4 0.06,3.1405,1.6732,Ln(P) (bar),1000/T,318.42,318,318,-0.6294,1.6732,0.53,23.18,4,1.3341,128.51,207.7,1.6258,6.0752,0.4262,2071.23,3397.73,5.18,6.846,48.52,147.1,20.532,8.5809,50.6919,483.9,-9.8954,2.0449,2.6623,-6.4657,-0.1856,-6.0168,0,-8.876,41.8042,23.1309,0.3388,0.0693,-0.5742,6.16,10.3296
97,222,13,PCT,Ti 27 Cr 27 V 40 Fe 6,TM,Cr0.27Fe0.06Ti0.27V0.4,Ti    Cr    V    Fe  ,0.27 0.27 0.4 0.06,0.27 0.27 0.4 0.06,3.3475,0.8184,Ln(P) (bar),1000/T,298.73,299,299,-1.4842,0.8184,0.23,23.18,4,1.3341,128.51,207.7,1.6258,6.0752,0.4262,2071.23,3397.73,5.18,6.846,48.52,147.1,20.532,8.5809,50.6919,483.9,-9.8954,2.0449,2.6623,-6.4657,-0.1856,-6.0168,0,-8.876,41.8042,23.1309,0.3388,0.0693,-0.5742,6.16,10.3296
98,223,13,PCT,Ti 28 Cr 26 V 40 Fe 6,TM,Cr0.26Fe0.06Ti0.28V0.4,Ti    Cr    V    Fe  ,0.28 0.26 0.4 0.06,0.28 0.26 0.4 0.06,2.7171,3.0603,Ln(P) (bar),1000/T,368.04,368,368,0.7577,3.0603,2.13,23.16,4,1.3362,128.6,207.8,1.6246,6.0484,0.4202,2069.28,3403.88,5.16,6.8466,47.8,146.6,20.514,8.6148,50.6506,484.62,-9.8602,2.037,2.6264,-6.4522,-0.1912,-6.0136,0,-8.8584,42.3014,23.2156,0.3432,0.07,-0.5754,6.24,10.3265
99,224,13,PCT,Ti 28 Cr 26 V 40 Fe 6,TM,Cr0.26Fe0.06Ti0.28V0.4,Ti    Cr    V    Fe  ,0.28 0.26 0.4 0.06,0.28 0.26 0.4 0.06,2.9563,2.2355,Ln(P) (bar),1000/T,338.26,338,338,-0.0671,2.2355,0.94,23.16,4,1.3362,128.6,207.8,1.6246,6.0484,0.4202,2069.28,3403.88,5.16,6.8466,47.8,146.6,20.514,8.6148,50.6506,484.62,-9.8602,2.037,2.6264,-6.4522,-0.1912,-6.0136,0,-8.8584,42.3014,23.2156,0.3432,0.07,-0.5754,6.24,10.3265
100,225,13,PCT,Ti 28 Cr 26 V 40 Fe 6,TM,Cr0.26Fe0.06Ti0.28V0.4,Ti    Cr    V    Fe  ,0.28 0.26 0.4 0.06,0.28 0.26 0.4 0.06,3.1386,1.1544,Ln(P) (bar),1000/T,318.61,318,318,-1.1482,1.1544,0.32,23.16,4,1.3362,128.6,207.8,1.6246,6.0484,0.4202,2069.28,3403.88,5.16,6.8466,47.8,146.6,20.514,8.6148,50.6506,484.62,-9.8602,2.037,2.6264,-6.4522,-0.1912,-6.0136,0,-8.8584,42.3014,23.2156,0.3432,0.07,-0.5754,6.24,10.3265
101,226,13,PCT,Ti 28 Cr 26 V 40 Fe 6,TM,Cr0.26Fe0.06Ti0.28V0.4,Ti    Cr    V    Fe  ,0.28 0.26 0.4 0.06,0.28 0.26 0.4 0.06,3.3475,0.1024,Ln(P) (bar),1000/T,298.73,299,299,-2.2002,0.1024,0.11,23.16,4,1.3362,128.6,207.8,1.6246,6.0484,0.4202,2069.28,3403.88,5.16,6.8466,47.8,146.6,20.514,8.6148,50.6506,484.62,-9.8602,2.037,2.6264,-6.4522,-0.1912,-6.0136,0,-8.8584,42.3014,23.2156,0.3432,0.07,-0.5754,6.24,10.3265
102,227,13,PCT,Ti 29 Cr 25 V 40 Fe 6,TM,Cr0.25Fe0.06Ti0.29V0.4,Ti    Cr    V    Fe  ,0.29 0.25 0.4 0.06,0.29 0.25 0.4 0.06,2.7152,2.5662,Ln(P) (bar),1000/T,368.3,368,368,0.2636,2.5662,1.3,23.14,4,1.3383,128.69,207.9,1.6234,6.0216,0.4142,2067.33,3410.03,5.14,6.8472,47.08,146.1,20.496,8.6487,50.6093,485.34,-9.825,2.0291,2.5905,-6.4387,-0.1968,-6.0104,0,-8.8408,42.7986,23.3003,0.3476,0.07,-0.5766,6.24,10.3173
103,228,13,PCT,Ti 29 Cr 25 V 40 Fe 6,TM,Cr0.25Fe0.06Ti0.29V0.4,Ti    Cr    V    Fe  ,0.29 0.25 0.4 0.06,0.29 0.25 0.4 0.06,2.9563,1.7417,Ln(P) (bar),1000/T,338.26,338,338,-0.5609,1.7417,0.57,23.14,4,1.3383,128.69,207.9,1.6234,6.0216,0.4142,2067.33,3410.03,5.14,6.8472,47.08,146.1,20.496,8.6487,50.6093,485.34,-9.825,2.0291,2.5905,-6.4387,-0.1968,-6.0104,0,-8.8408,42.7986,23.3003,0.3476,0.07,-0.5766,6.24,10.3173
104,229,13,PCT,Ti 29 Cr 25 V 40 Fe 6,TM,Cr0.25Fe0.06Ti0.29V0.4,Ti    Cr    V    Fe  ,0.29 0.25 0.4 0.06,0.29 0.25 0.4 0.06,3.1386,0.784,Ln(P) (bar),1000/T,318.61,318,318,-1.5186,0.784,0.22,23.14,4,1.3383,128.69,207.9,1.6234,6.0216,0.4142,2067.33,3410.03,5.14,6.8472,47.08,146.1,20.496,8.6487,50.6093,485.34,-9.825,2.0291,2.5905,-6.4387,-0.1968,-6.0104,0,-8.8408,42.7986,23.3003,0.3476,0.07,-0.5766,6.24,10.3173
105,230,13,PCT,Ti 29 Cr 25 V 40 Fe 6,TM,Cr0.25Fe0.06Ti0.29V0.4,Ti    Cr    V    Fe  ,0.29 0.25 0.4 0.06,0.29 0.25 0.4 0.06,3.3475,-0.8112,Ln(P) (bar),1000/T,298.73,299,299,-3.1138,-0.8112,0.04,23.14,4,1.3383,128.69,207.9,1.6234,6.0216,0.4142,2067.33,3410.03,5.14,6.8472,47.08,146.1,20.496,8.6487,50.6093,485.34,-9.825,2.0291,2.5905,-6.4387,-0.1968,-6.0104,0,-8.8408,42.7986,23.3003,0.3476,0.07,-0.5766,6.24,10.3173
106,231,13,PCT,Ti 30 Cr 24 V 40 Fe 6,TM,Cr0.24Fe0.06Ti0.3V0.4,Ti    Cr    V    Fe  ,0.30 0.24 0.4 0.06,0.30 0.24 0.4 0.06,2.719,2.3199,Ln(P) (bar),1000/T,367.78,368,368,0.0173,2.3199,1.02,23.12,4,1.3404,128.78,208,1.6222,5.9948,0.4082,2065.38,3416.18,5.12,6.8478,46.36,145.6,20.478,8.6826,50.568,486.06,-9.7898,2.0212,2.5546,-6.4252,-0.2024,-6.0072,0,-8.8232,43.2958,23.385,0.352,0.0707,-0.5778,6.24,10.3018
107,232,13,PCT,Ti 30 Cr 24 V 40 Fe 6,TM,Cr0.24Fe0.06Ti0.3V0.4,Ti    Cr    V    Fe  ,0.30 0.24 0.4 0.06,0.30 0.24 0.4 0.06,2.9544,1.0994,Ln(P) (bar),1000/T,338.47,338,338,-1.2032,1.0994,0.3,23.12,4,1.3404,128.78,208,1.6222,5.9948,0.4082,2065.38,3416.18,5.12,6.8478,46.36,145.6,20.478,8.6826,50.568,486.06,-9.7898,2.0212,2.5546,-6.4252,-0.2024,-6.0072,0,-8.8232,43.2958,23.385,0.352,0.0707,-0.5778,6.24,10.3018
108,233,13,PCT,Ti 30 Cr 24 V 40 Fe 6,TM,Cr0.24Fe0.06Ti0.3V0.4,Ti    Cr    V    Fe  ,0.30 0.24 0.4 0.06,0.30 0.24 0.4 0.06,3.1386,0.1667,Ln(P) (bar),1000/T,318.61,318,318,-2.1358,0.1667,0.12,23.12,4,1.3404,128.78,208,1.6222,5.9948,0.4082,2065.38,3416.18,5.12,6.8478,46.36,145.6,20.478,8.6826,50.568,486.06,-9.7898,2.0212,2.5546,-6.4252,-0.2024,-6.0072,0,-8.8232,43.2958,23.385,0.352,0.0707,-0.5778,6.24,10.3018
109,234,13,PCT,Ti 30 Cr 24 V 40 Fe 6,TM,Cr0.24Fe0.06Ti0.3V0.4,Ti    Cr    V    Fe  ,0.30 0.24 0.4 0.06,0.30 0.24 0.4 0.06,3.3475,-1.7742,Ln(P) (bar),1000/T,298.73,299,299,-4.0768,-1.7742,0.02,23.12,4,1.3404,128.78,208,1.6222,5.9948,0.4082,2065.38,3416.18,5.12,6.8478,46.36,145.6,20.478,8.6826,50.568,486.06,-9.7898,2.0212,2.5546,-6.4252,-0.2024,-6.0072,0,-8.8232,43.2958,23.385,0.352,0.0707,-0.5778,6.24,10.3018
271,0,1,Lit_pratibha,TiFe 0.95 Mn 0.05,TM,Fe0.475Mn0.025Ti0.5,Ti Fe Mn,0.5 0.475 0.025,0.5 0.475 0.025,3.0638,2.4734,Ln(P) bar,1000/T,53.39,328,328,0.147,2.4496,1.16,23.975,4,1.3528,130.85,210,1.678,6.18,0.1113,1864.25,3271.8,5.975,7.3533,49.195,138.75,16.235,8.8615,51.8373,485.25,-8.6015,1.965,1.6605,-6.1558,0.0493,-6.3478,0,-8.1973,79.8958,37.9098,0.3315,0.1446,-0.522,8,6.5884
272,0,2,Lit_pratibha,TiFe 0.95 Mn 0.05,TM,Fe0.475Mn0.025Ti0.5,Ti Fe Mn,0.5 0.475 0.025,0.5 0.475 0.025,3.1514,2.1032,Ln(P) bar,1000/T,44.32,318,318,-0.1994,2.1032,0.82,23.975,4,1.3528,130.85,210,1.678,6.18,0.1113,1864.25,3271.8,5.975,7.3533,49.195,138.75,16.235,8.8615,51.8373,485.25,-8.6015,1.965,1.6605,-6.1558,0.0493,-6.3478,0,-8.1973,79.8958,37.9098,0.3315,0.1446,-0.522,8,6.5884
273,0,3,Lit_pratibha,TiFe 0.95 Mn 0.05,TM,Fe0.475Mn0.025Ti0.5,Ti Fe Mn,0.5 0.475 0.025,0.5 0.475 0.025,3.2601,1.7154,Ln(P) bar,1000/T,33.74,308,308,-0.5872,1.7154,0.56,23.975,4,1.3528,130.85,210,1.678,6.18,0.1113,1864.25,3271.8,5.975,7.3533,49.195,138.75,16.235,8.8615,51.8373,485.25,-8.6015,1.965,1.6605,-6.1558,0.0493,-6.3478,0,-8.1973,79.8958,37.9098,0.3315,0.1446,-0.522,8,6.5884
274,0,4,Lit_pratibha,TiFe 0.95 Mn 0.05,TM,Fe0.475Mn0.025Ti0.5,Ti Fe Mn,0.5 0.475 0.025,0.5 0.475 0.025,3.3498,1.3416,Ln(P) bar,1000/T,25.52,298,298,-0.961,1.3415,0.38,23.975,4,1.3528,130.85,210,1.678,6.18,0.1113,1864.25,3271.8,5.975,7.3533,49.195,138.75,16.235,8.8615,51.8373,485.25,-8.6015,1.965,1.6605,-6.1558,0.0493,-6.3478,0,-8.1973,79.8958,37.9098,0.3315,0.1446,-0.522,8,6.5884
275,0,5,Lit_pratibha,TiFe 0.90 Mn 0.10,TM,Fe0.45Mn0.05Ti0.5,Ti Fe Mn,0.5 0.45 0.05,0.5 0.45 0.05,3.0553,2.0574,Ln(P) bar,1000/T,54.31,328,328,-0.2452,2.0574,0.78,23.95,4,1.3555,131.2,210,1.671,6.17,0.1075,1857,3252.1,5.95,7.3415,47.39,137.5,16.22,8.868,51.8145,486,-8.648,1.98,1.686,-6.2615,0.0385,-6.3355,0,-8.2145,78.5665,46.7645,0.023,0.1439,-0.529,7.87,7.1146
276,0,6,Lit_pratibha,TiFe 0.90 Mn 0.10,TM,Fe0.45Mn0.05Ti0.5,Ti Fe Mn,0.5 0.45 0.05,0.5 0.45 0.05,3.1508,1.7109,Ln(P) bar,1000/T,44.38,318,318,-0.5917,1.7109,0.55,23.95,4,1.3555,131.2,210,1.671,6.17,0.1075,1857,3252.1,5.95,7.3415,47.39,137.5,16.22,8.868,51.8145,486,-8.648,1.98,1.686,-6.2615,0.0385,-6.3355,0,-8.2145,78.5665,46.7645,0.023,0.1439,-0.529,7.87,7.1146
277,0,7,Lit_pratibha,TiFe 0.90 Mn 0.10,TM,Fe0.45Mn0.05Ti0.5,Ti Fe Mn,0.5 0.45 0.05,0.5 0.45 0.05,3.2454,1.3797,Ln(P) bar,1000/T,35.12,308,308,-0.9229,1.3797,0.4,23.95,4,1.3555,131.2,210,1.671,6.17,0.1075,1857,3252.1,5.95,7.3415,47.39,137.5,16.22,8.868,51.8145,486,-8.648,1.98,1.686,-6.2615,0.0385,-6.3355,0,-8.2145,78.5665,46.7645,0.023,0.1439,-0.529,7.87,7.1146
278,0,8,Lit_pratibha,TiFe 0.90 Mn 0.10,TM,Fe0.45Mn0.05Ti0.5,Ti Fe Mn,0.5 0.45 0.05,0.5 0.45 0.05,3.3576,0.9037,Ln(P) bar,1000/T,24.83,298,298,-1.3989,0.9037,0.25,23.95,4,1.3555,131.2,210,1.671,6.17,0.1075,1857,3252.1,5.95,7.3415,47.39,137.5,16.22,8.868,51.8145,486,-8.648,1.98,1.686,-6.2615,0.0385,-6.3355,0,-8.2145,78.5665,46.7645,0.023,0.1439,-0.529,7.87,7.1146
279,0,9,Lit_pratibha,TiFe 0.85 Mn 0.15,TM,Fe0.425Mn0.075Ti0.5,Ti Fe Mn,0.5 0.425 0.075,0.5 0.425 0.075,3.0433,1.5872,Ln(P) bar,1000/T,55.6,328,328,-0.7154,1.5872,0.49,23.925,4,1.3583,131.55,210,1.664,6.16,0.1038,1849.75,3232.4,5.925,7.3298,45.585,136.25,16.205,8.8745,51.7918,486.75,-8.6945,1.995,1.7115,-6.3673,0.0278,-6.3233,0,-8.2318,77.2373,55.6193,-0.2855,0.1428,-0.536,7.75,7.5205
280,0,10,Lit_pratibha,TiFe 0.85 Mn 0.15,TM,Fe0.425Mn0.075Ti0.5,Ti Fe Mn,0.5 0.425 0.075,0.5 0.425 0.075,3.1403,1.2293,Ln(P) bar,1000/T,45.44,318,318,-1.0733,1.2293,0.34,23.925,4,1.3583,131.55,210,1.664,6.16,0.1038,1849.75,3232.4,5.925,7.3298,45.585,136.25,16.205,8.8745,51.7918,486.75,-8.6945,1.995,1.7115,-6.3673,0.0278,-6.3233,0,-8.2318,77.2373,55.6193,-0.2855,0.1428,-0.536,7.75,7.5205
281,0,11,Lit_pratibha,TiFe 0.85 Mn 0.15,TM,Fe0.425Mn0.075Ti0.5,Ti Fe Mn,0.5 0.425 0.075,0.5 0.425 0.075,3.2485,0.8453,Ln(P) bar,1000/T,34.84,308,308,-1.4573,0.8453,0.23,23.925,4,1.3583,131.55,210,1.664,6.16,0.1038,1849.75,3232.4,5.925,7.3298,45.585,136.25,16.205,8.8745,51.7918,486.75,-8.6945,1.995,1.7115,-6.3673,0.0278,-6.3233,0,-8.2318,77.2373,55.6193,-0.2855,0.1428,-0.536,7.75,7.5205
