no,SrNo,PDF_name,Type,Compostion,Class,composition_final,Element,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Ln(P)_bar,Pressure(MPa),AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix
302,0,20,PCI,LaNi5,TM+Ln,La0.17Ni0.83,La Ni,0.17 0.83,0.17 0.83,2.6842,3.3612,Pressure (bar),1000/T,99.55,373,373,1.2123,3.5149,3.36,32.93,4.34,1.3571,129.16,208.5,1.7723,8.4408,1.0427,1635.05,3129.44,8.81,7.2898,77.74,154.16,15.347,9.3117,72.3274,402.5,-4.2468,2.1735,1.5654,-4.7262,-0.2254,-4.6998,0,-5.6372,18.0077,34.256,-0.2616,0.3043,-0.4277,17.44,3.7905
303,0,20,PCI,LaNi5,TM+Ln,La0.17Ni0.83,La Ni,0.17 0.83,0.17 0.83,2.8346,2.1111,Pressure (bar),1000/T,79.79,353,353,0.7472,3.0498,2.11,32.93,4.34,1.3571,129.16,208.5,1.7723,8.4408,1.0427,1635.05,3129.44,8.81,7.2898,77.74,154.16,15.347,9.3117,72.3274,402.5,-4.2468,2.1735,1.5654,-4.7262,-0.2254,-4.6998,0,-5.6372,18.0077,34.256,-0.2616,0.3043,-0.4277,17.44,3.7905
304,0,20,PCI,LaNi5,TM+Ln,La0.17Ni0.83,La Ni,0.17 0.83,0.17 0.83,3.0057,1.2475,Pressure (bar),1000/T,59.71,333,333,0.2211,2.5237,1.25,32.93,4.34,1.3571,129.16,208.5,1.7723,8.4408,1.0427,1635.05,3129.44,8.81,7.2898,77.74,154.16,15.347,9.3117,72.3274,402.5,-4.2468,2.1735,1.5654,-4.7262,-0.2254,-4.6998,0,-5.6372,18.0077,34.256,-0.2616,0.3043,-0.4277,17.44,3.7905
305,0,20,PCI,LaNi5,TM+Ln,La0.17Ni0.83,La Ni,0.17 0.83,0.17 0.83,3.1963,0.6778,Pressure (bar),1000/T,39.86,313,313,-0.3888,1.9137,0.68,32.93,4.34,1.3571,129.16,208.5,1.7723,8.4408,1.0427,1635.05,3129.44,8.81,7.2898,77.74,154.16,15.347,9.3117,72.3274,402.5,-4.2468,2.1735,1.5654,-4.7262,-0.2254,-4.6998,0,-5.6372,18.0077,34.256,-0.2616,0.3043,-0.4277,17.44,3.7905
306,0,20,PCI,LaNi5,TM+Ln,La0.17Ni0.83,La Ni,0.17 0.83,0.17 0.83,3.4109,0.3162,Pressure (bar),1000/T,20.18,293,293,-1.1513,1.1513,0.32,32.93,4.34,1.3571,129.16,208.5,1.7723,8.4408,1.0427,1635.05,3129.44,8.81,7.2898,77.74,154.16,15.347,9.3117,72.3274,402.5,-4.2468,2.1735,1.5654,-4.7262,-0.2254,-4.6998,0,-5.6372,18.0077,34.256,-0.2616,0.3043,-0.4277,17.44,3.7905
235,411,111,PCI,LaNi4.75Al0.25,TM+Ln,Al0.04La0.17Ni0.79,La Ni  Al  ,0.17 0.79 0.04,0.17 0.79 0.04,2.5365,14.908,P(bar),1000/T,121.24,394,394,0.3993,2.7019,1.49,32.33,4.3,1.3643,129.04,208.9,1.7603,8.1924,1.0135,1603.35,3118.84,8.53,7.2238,83.5,150,15.087,9.4477,71.059,420.86,-4.1492,2.2103,1.5742,-4.7122,-0.2258,-4.6558,0,-5.556,26.5885,34.4952,-0.2308,0.3045,-0.4397,17.29,5.1235
236,413,111,PCI,LaNi4.75Al0.25,TM+Ln,Al0.04La0.17Ni0.79,La Ni  Al  ,0.17 0.79 0.04,0.17 0.79 0.04,2.6726,8.6968,P(bar),1000/T,101.17,374,374,-0.1396,2.163,0.87,32.33,4.3,1.3643,129.04,208.9,1.7603,8.1924,1.0135,1603.35,3118.84,8.53,7.2238,83.5,150,15.087,9.4477,71.059,420.86,-4.1492,2.2103,1.5742,-4.7122,-0.2258,-4.6558,0,-5.556,26.5885,34.4952,-0.2308,0.3045,-0.4397,17.29,5.1235
237,417,111,PCI,LaNi4.75Al0.25,TM+Ln,Al0.04La0.17Ni0.79,La Ni  Al  ,0.17 0.79 0.04,0.17 0.79 0.04,2.8273,4.7417,P(bar),1000/T,80.7,354,354,-0.7462,1.5564,0.47,32.33,4.3,1.3643,129.04,208.9,1.7603,8.1924,1.0135,1603.35,3118.84,8.53,7.2238,83.5,150,15.087,9.4477,71.059,420.86,-4.1492,2.2103,1.5742,-4.7122,-0.2258,-4.6558,0,-5.556,26.5885,34.4952,-0.2308,0.3045,-0.4397,17.29,5.1235
238,422,111,PCI,LaNi4.75Al0.25,TM+Ln,Al0.04La0.17Ni0.79,La Ni  Al  ,0.17 0.79 0.04,0.17 0.79 0.04,2.9977,2.1579,P(bar),1000/T,60.58,334,334,-1.5334,0.7692,0.22,32.33,4.3,1.3643,129.04,208.9,1.7603,8.1924,1.0135,1603.35,3118.84,8.53,7.2238,83.5,150,15.087,9.4477,71.059,420.86,-4.1492,2.2103,1.5742,-4.7122,-0.2258,-4.6558,0,-5.556,26.5885,34.4952,-0.2308,0.3045,-0.4397,17.29,5.1235
239,428,111,PCI,LaNi4.75Al0.25,TM+Ln,Al0.04La0.17Ni0.79,La Ni  Al  ,0.17 0.79 0.04,0.17 0.79 0.04,3.1882,1.0619,P(bar),1000/T,40.66,314,314,-2.2426,0.06,0.11,32.33,4.3,1.3643,129.04,208.9,1.7603,8.1924,1.0135,1603.35,3118.84,8.53,7.2238,83.5,150,15.087,9.4477,71.059,420.86,-4.1492,2.2103,1.5742,-4.7122,-0.2258,-4.6558,0,-5.556,26.5885,34.4952,-0.2308,0.3045,-0.4397,17.29,5.1235
